node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
33092,5,TSPB,100,200,18657,GreedyCycle2Regret_w1_1_start0,51749,GreedyCycle2Regret_w1_1
32295,4,TSPB,100,200,19591,GreedyCycle2Regret_w1_1_start1,51886,GreedyCycle2Regret_w1_1
29046,5,TSPB,100,200,20242,GreedyCycle2Regret_w1_1_start2,49288,GreedyCycle2Regret_w1_1
32511,4,TSPB,100,200,17572,GreedyCycle2Regret_w1_1_start3,50083,GreedyCycle2Regret_w1_1
26659,4,TSPB,100,200,20891,GreedyCycle2Regret_w1_1_start4,47550,GreedyCycle2Regret_w1_1
32332,5,TSPB,100,200,19921,GreedyCycle2Regret_w1_1_start5,52253,GreedyCycle2Regret_w1_1
30082,4,TSPB,100,200,20739,GreedyCycle2Regret_w1_1_start6,50821,GreedyCycle2Regret_w1_1
33212,4,TSPB,100,200,19821,GreedyCycle2Regret_w1_1_start7,53033,GreedyCycle2Regret_w1_1
28655,4,TSPB,100,200,20542,GreedyCycle2Regret_w1_1_start8,49197,GreedyCycle2Regret_w1_1
26222,4,TSPB,100,200,21202,GreedyCycle2Regret_w1_1_start9,47424,GreedyCycle2Regret_w1_1
34321,4,TSPB,100,200,18892,GreedyCycle2Regret_w1_1_start10,53213,GreedyCycle2Regret_w1_1
33092,5,TSPB,100,200,18657,GreedyCycle2Regret_w1_1_start11,51749,GreedyCycle2Regret_w1_1
33090,4,TSPB,100,200,18824,GreedyCycle2Regret_w1_1_start12,51914,GreedyCycle2Regret_w1_1
28752,4,TSPB,100,200,20332,GreedyCycle2Regret_w1_1_start13,49084,GreedyCycle2Regret_w1_1
31500,4,TSPB,100,200,20501,GreedyCycle2Regret_w1_1_start14,52001,GreedyCycle2Regret_w1_1
32511,4,TSPB,100,200,17572,GreedyCycle2Regret_w1_1_start15,50083,GreedyCycle2Regret_w1_1
34916,4,TSPB,100,200,19040,GreedyCycle2Regret_w1_1_start16,53956,GreedyCycle2Regret_w1_1
33600,4,TSPB,100,200,19106,GreedyCycle2Regret_w1_1_start17,52706,GreedyCycle2Regret_w1_1
33033,5,TSPB,100,200,17976,GreedyCycle2Regret_w1_1_start18,51009,GreedyCycle2Regret_w1_1
